release,distributor,seasons,adjusted_gross
Nothing to Lose,Walt Disney Studios Motion Pictures,summer,83622473
Notorious,-,winter,52318028
Notting Hill,Universal Pictures,summer,211283213
Now You See Me,Lionsgate,summer,153041185
Now You See Me 2,Lionsgate,summer,81995180
Now and Then,New Line Cinema,fall,53953534
Nowhere to Run,Columbia Pictures,winter,46596981
Nurse Betty,USA Films,fall,44550995
Nuts,Warner Bros.,holiday season,61326560
Nutty Professor II: The Klumps,Universal Pictures,summer,218250584
"O Brother, Where Art Thou?",Walt Disney Studios Motion Pictures,holiday season,75734155
Oblivion,Universal Pictures,spring,115839405
Obsessed,Screen Gems,spring,96931534
Ocean's Eight,Warner Bros.,summer,169664640
Ocean's Eleven,Warner Bros.,holiday season,312617953
Ocean's Thirteen,Warner Bros.,summer,173388991
Ocean's Twelve,Warner Bros.,holiday season,162674984
October Sky,Universal Pictures,winter,59278646
Octopussy,Metro-Goldwyn-Mayer (MGM),summer,207754474
Oculus,Relativity Media,spring,35449914
Office Christmas Party,Paramount Pictures,holiday season,62767121
Oh Heavenly Dog,Twentieth Century Fox,summer,23931857
"Oh, God! Book II",Warner Bros.,fall,55841466
"Oh, God! You Devil",Warner Bros.,holiday season,58570488
Old,Universal Pictures,summer,54996461
Old Dogs,Walt Disney Studios Motion Pictures,holiday season,66070573
Old School,DreamWorks Distribution,winter,124715403
Oliver & Company,Walt Disney Studios Motion Pictures,holiday season,135817442
Oliver & Company1996 Re-release,Walt Disney Studios Motion Pictures,spring,40492244
Olympus Has Fallen,FilmDistrict,spring,128603332
On Deadly Ground,Warner Bros.,winter,79110438
On Golden Pond,Universal Pictures,holiday season,378287321
On the Basis of Sex,Focus Features,holiday season,27305817
Once Around,Universal Pictures,winter,32969404
Once Bitten,The Samuel Goldwyn Company,holiday season,27238925
Once Upon a Time in Hollywood,Sony Pictures Entertainment (SPE),summer,169535472
Once Upon a Time in Mexico,Sony Pictures Entertainment (SPE),fall,92993637
One Crazy Summer,Warner Bros.,summer,36668830
One Direction: This Is Us,TriStar Pictures,summer,37535386
One Fine Day,Twentieth Century Fox,holiday season,88075778
One Hour Photo,-,summer,53383520
One Hundred and One Dalmatians1985 Re-release,Walt Disney Studios Motion Pictures,holiday season,88428974
One Hundred and One Dalmatians1991 Re-release,Walt Disney Studios Motion Pictures,summer,135043232
One Magic Christmas,Walt Disney Studios Motion Pictures,holiday season,38843310
One Piece Film: Red,Crunchyroll,holiday season,13541843
One True Thing,Universal Pictures,fall,43004804
One-Trick Pony,Warner Bros.,fall,3246377
Only You,TriStar Pictures,fall,41121380
Only the Lonely,Twentieth Century Fox,summer,48464724
Onward,Walt Disney Studios Motion Pictures,spring,71403968
Open Range,Walt Disney Studios Motion Pictures,summer,96246569
Open Season,Sony Pictures Entertainment (SPE),fall,127298372
Open Water,Lionsgate,summer,49592023
Operation Dumbo Drop,Walt Disney Studios Motion Pictures,summer,49093988
Opportunity Knocks,Universal Pictures,spring,26693953
Orange County,Paramount Pictures,winter,69418470
Ordinary People,Paramount Pictures,fall,210852653
Orphan,Warner Bros.,summer,59066676
Orphan: First Kill,Paramount Pictures,summer,5738020
Oscar,Walt Disney Studios Motion Pictures,spring,52309229
Other People's Money,Warner Bros.,fall,57014239
Ouija,Universal Pictures,fall,65095692
Ouija: Origin of Evil,Universal Pictures,fall,44282076
Out for Justice,Warner Bros.,spring,88074417
Out of Africa,Universal Pictures,holiday season,239542024
Out of Sight,Universal Pictures,summer,69490750
Out of Time,Metro-Goldwyn-Mayer (MGM),fall,67736629
Out to Sea,Twentieth Century Fox,summer,54561833
Outbreak,Warner Bros.,spring,134642524
Outland,Warner Bros.,summer,59768606
Outrageous Fortune,Walt Disney Studios Motion Pictures,winter,142206153
Over the Hedge,DreamWorks,summer,234079203
Over the Top,Warner Bros.,winter,43194890
Overboard,Metro-Goldwyn-Mayer (MGM),holiday season,70128743
Overboard,Pantelion Films,spring,60882508
Overcomer,Affirm Films,summer,41348864
Oxford Blues,Metro-Goldwyn-Mayer (MGM),summer,25851866
Oz the Great and Powerful,Walt Disney Studios Motion Pictures,spring,305385372
P.S. I Love You,Warner Bros.,holiday season,37429379
PAW Patrol: The Movie,Paramount Pictures,summer,45745202
Pacific Heights,Twentieth Century Fox,fall,69047596
Pacific Rim,Warner Bros.,summer,132343777
Pacific Rim: Uprising,Universal Pictures,spring,72448175
Paddington,-,winter,97627944
Paddington 2,Warner Bros.,winter,49478825
Pain & Gain,Paramount Pictures,spring,64837878
Pale Rider,Warner Bros.,summer,117606013
Pan,Warner Bros.,fall,44873544
Pan's Labyrinth,Picturehouse,holiday season,54857641
Panic Room,Sony Pictures Entertainment (SPE),spring,162911494
Paper Towns,Twentieth Century Fox,summer,40960389
ParaNorman,Focus Features,summer,73914704
Paradise,Embassy Pictures,summer,17716496
Paradise,Walt Disney Studios Motion Pictures,fall,41368907
Paranormal Activity,Paramount Pictures,fall,153065839
Paranormal Activity 2,Paramount Pictures,fall,116765031
Paranormal Activity 3,Paramount Pictures,fall,141401080
Paranormal Activity 4,Paramount Pictures,fall,71130832
Paranormal Activity: The Marked Ones,Paramount Pictures,holiday season,41551836
Parasite,Neon,fall,62587918
Parental Guidance,Twentieth Century Fox,holiday season,101127351
Parenthood,Universal Pictures,summer,235953772
Partners,Paramount Pictures,spring,19219386
Passenger 57,Warner Bros.,holiday season,95622467
Passengers,Sony Pictures Entertainment (SPE),holiday season,124679485
Patch Adams,Universal Pictures,holiday season,247142291
Patriot Games,Paramount Pictures,summer,180872943
Patriots Day,Lionsgate,holiday season,38523361
Paul,Universal Pictures,spring,50881605
Paul Blart: Mall Cop,Sony Pictures Entertainment (SPE),winter,207797372
Paul Blart: Mall Cop 2,Sony Pictures Entertainment (SPE),spring,90928883
Paulie,DreamWorks Distribution,spring,49719245
Paws of Fury: The Legend of Hank,Paramount Pictures,summer,18880064
Pay It Forward,Warner Bros.,fall,58340564
Payback,Paramount Pictures,winter,148377540
Paycheck,Paramount Pictures,holiday season,46604765
Pearl,A24,fall,9988851
Pearl Harbor,Walt Disney Studios Motion Pictures,summer,339507767
Pee-wee's Big Adventure,Warner Bros.,summer,116271480
Peggy Sue Got Married,TriStar Pictures,fall,112975155
Penguins of Madagascar,Twentieth Century Fox,holiday season,94756124
Peninsula,Well Go USA Entertainment,summer,1323009
Peppermint,STX Entertainment,fall,42856654
Percy Jackson & the Olympians: The Lightning Thief,Twentieth Century Fox,winter,122500258
Percy Jackson: Sea of Monsters,Twentieth Century Fox,summer,89026267
Perfect,Columbia Pictures,summer,36689556
Pet Sematary,Paramount Pictures,spring,207071971
Pet Sematary II,Paramount Pictures,summer,37090623
Pete's Dragon,Walt Disney Studios Motion Pictures,summer,96053770
Peter Pan,Universal Pictures,holiday season,42688851
Peter Pan1982 Re-release,Walt Disney Studios Motion Pictures,holiday season,53436484
Peter Pan1989 Re-release,Walt Disney Studios Motion Pictures,summer,72729473
Peter Rabbit,Sony Pictures Entertainment (SPE),winter,139456643
Peter Rabbit 2: The Runaway,Sony Pictures Entertainment (SPE),summer,46171957
Phenomenon,Walt Disney Studios Motion Pictures,summer,190525015
Philadelphia,TriStar Pictures,holiday season,154789643
Phone Booth,Twentieth Century Fox,spring,76834249
Picture Perfect,Twentieth Century Fox,summer,59046801
Pig,Neon,summer,3632801
Pineapple Express,Sony Pictures Entertainment (SPE),summer,124024759
Pink Cadillac,Warner Bros.,summer,29994405
Pink Floyd: The Wall,Metro-Goldwyn-Mayer (MGM),summer,69138048
Pinocchio1984 Re-release,Walt Disney Studios Motion Pictures,holiday season,76218865
Pinocchio1992 Re-release,Walt Disney Studios Motion Pictures,summer,40933923
Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,summer,457942229
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,summer,639208902
Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,summer,212247417
Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,summer,327857650
Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,summer,503907985
Pitch Black,USA Films,winter,69455966
Pitch Perfect,Universal Pictures,fall,85044125
Pitch Perfect 2,Universal Pictures,summer,235245331
Pitch Perfect 3,Universal Pictures,holiday season,128192023
Pixels,Sony Pictures Entertainment (SPE),summer,100796908
Places in the Heart,TriStar Pictures,fall,83905885
Planes,Walt Disney Studios Motion Pictures,summer,117375325
"Planes, Trains & Automobiles",Paramount Pictures,holiday season,131788339
Planes: Fire & Rescue,Walt Disney Studios Motion Pictures,summer,75732207
Planet 51,Sony Pictures Entertainment (SPE),holiday season,55962992
Planet of the Apes,Twentieth Century Fox,summer,307351841
Platoon,Orion Pictures,holiday season,367919006
Playing with Fire,Paramount Pictures,holiday season,52540150
Pleasantville,New Line Cinema,fall,71708338
Pocahontas,Walt Disney Studios Motion Pictures,summer,277034968
Poetic Justice,Columbia Pictures,summer,57783150
Point Break,Twentieth Century Fox,summer,95944819
Point of No Return,Warner Bros.,spring,63080560
Pokémon the Movie 2000,Warner Bros.,summer,77452870
Pokémon: Detective Pikachu,Warner Bros.,summer,171485361
Pokémon: The First Movie - Mewtwo Strikes Back,Warner Bros.,holiday season,152813506
Police Academy,Warner Bros.,spring,238724748
Police Academy 2: Their First Assignment,Warner Bros.,spring,157904000
Police Academy 3: Back in Training,Warner Bros.,spring,118971114
Police Academy 4: Citizens on Patrol,Warner Bros.,spring,75485012
Police Academy 5: Assignment: Miami Beach,Warner Bros.,spring,50531860
Police Academy 6: City Under Siege,Warner Bros.,spring,28571025
Poltergeist,Metro-Goldwyn-Mayer (MGM),summer,233170697
Poltergeist,Twentieth Century Fox,summer,60704160
Poltergeist II: The Other Side,Metro-Goldwyn-Mayer (MGM),summer,111920895
Poltergeist III,Metro-Goldwyn-Mayer (MGM),summer,36556523
Popeye,Paramount Pictures,holiday season,191818692
Porky's,Twentieth Century Fox,spring,334411171
Porky's II: The Next Day,Twentieth Century Fox,summer,103303353
Porky's Revenge,Twentieth Century Fox,spring,58273690
Porky's1983 Re-release,Twentieth Century Fox,summer,17739401
Portrait of a Lady on Fire,Neon,holiday season,4223851
Poseidon,Warner Bros.,summer,91618973
Posse,Gramercy Pictures (I),summer,38408502
Postcards from the Edge,Columbia Pictures,fall,91818267
Powder,Walt Disney Studios Motion Pictures,fall,61415690
Power Rangers,Lionsgate,spring,104998273
Practical Magic,Warner Bros.,fall,85848872
Prancer,Orion Pictures,holiday season,45910223
Precious,Lionsgate,holiday season,60446544
Predator,Twentieth Century Fox,summer,160688624
Predator 2,Twentieth Century Fox,holiday season,72073120
Predators,Twentieth Century Fox,summer,71760949
Prelude to a Kiss,Twentieth Century Fox,summer,43414604
Premonition,Sony Pictures Entertainment (SPE),spring,70821853
Presumed Innocent,Warner Bros.,summer,202812491
Pretty Woman,Walt Disney Studios Motion Pictures,spring,399762570
Pretty in Pink,Paramount Pictures,winter,110487639
Prey for the Devil,Lionsgate,fall,20990430
Pride & Prejudice,Focus Features,holiday season,52083379
Primal Fear,Paramount Pictures,spring,108865395
Primary Colors,Universal Pictures,spring,72152195
Prince of Darkness,Universal Pictures,fall,38150903
Prince of Persia: The Sands of Time,Walt Disney Studios Motion Pictures,summer,125248352
Prince of the City,Warner Bros.,summer,27947444
Prisoners,Warner Bros.,fall,79302992
Private Benjamin,Warner Bros.,fall,268912289
Private Lessons,-,summer,39946999
Private Parts,Paramount Pictures,spring,77513902
Private School,Universal Pictures,summer,42991592
Prizzi's Honor,Twentieth Century Fox,summer,75707396
Problem Child,Universal Pictures,summer,125656593
Problem Child 2,Universal Pictures,summer,55732434
Project X,Twentieth Century Fox,spring,49851849
Project X,Warner Bros.,winter,72246061
Prom Night,Screen Gems,spring,62294477
Prometheus,Twentieth Century Fox,summer,166949750
Promising Young Woman,Focus Features,holiday season,7389662
Proof of Life,Warner Bros.,holiday season,46693272
Protocol,Warner Bros.,holiday season,75302532
Psycho,Universal Pictures,holiday season,37672382
Psycho II,Universal Pictures,summer,106258500
Psycho III,Universal Pictures,summer,39534784
Public Enemies,Universal Pictures,summer,137888560
Pulp Fiction,Miramax,fall,218520237
Pump Up the Volume,New Line Cinema,summer,27123131
Punchline,Columbia Pictures,fall,54500507
Pure Country,Warner Bros.,fall,30693246
Pure Luck,Universal Pictures,summer,50265171
Purple Rain,Warner Bros.,summer,201075352
Push,Summit Entertainment,winter,45172368
Puss in Boots,DreamWorks,fall,197541292
Puss in Boots: The Last Wish,Universal Pictures,holiday season,59005064
Q&A,TriStar Pictures,spring,26338543
Quantum of Solace,Sony Pictures Entertainment (SPE),holiday season,234667498
Quarantine,Screen Gems,fall,45002371
Queen & Slim,Universal Pictures,holiday season,52039207
Queen of the Damned,Warner Bros.,winter,51269192
Quest for Camelot,Warner Bros.,summer,41644976
Quest for Fire,Twentieth Century Fox,winter,50460396
Quick Change,Warner Bros.,summer,35861361
Quicksilver,Columbia Pictures,winter,20843301
Quigley Down Under,Metro-Goldwyn-Mayer (MGM),fall,50320796
Quiz Show,Walt Disney Studios Motion Pictures,fall,40187140
R.I.P.D.,Universal Pictures,summer,43704511
RED,Summit Entertainment,fall,123228889
RED 2,Lionsgate,summer,69241328
RRR,Sarigama Cinemas,spring,11779780
RV,Sony Pictures Entertainment (SPE),spring,108306297
Race to Witch Mountain,Walt Disney Studios Motion Pictures,spring,95385083
Racing Stripes,Warner Bros.,winter,78142859
Radio,Revolution Studios,fall,84846940
Radio Days,Orion Pictures,winter,39792575
Raggedy Man,Universal Pictures,fall,6798121
Raging Bull,Metro-Goldwyn-Mayer (MGM),holiday season,89839569
Ragtime,Paramount Pictures,holiday season,47366983
Raiders of the Lost Ark,Paramount Pictures,summer,678646534
Raiders of the Lost Ark1982 Re-release,Paramount Pictures,summer,56398798
Raiders of the Lost Ark1983 Re-release,Paramount Pictures,spring,34805829
Rain Man,Metro-Goldwyn-Mayer (MGM),holiday season,430865521
Raising Arizona,Twentieth Century Fox,spring,61459947
Raising Cain,Universal Pictures,summer,46373023
Raising Helen,Walt Disney Studios Motion Pictures,summer,60728149
Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,holiday season,242851472
Rambo,Lionsgate,winter,60710829
Rambo III,TriStar Pictures,summer,139123432
Rambo: First Blood Part II,TriStar Pictures,summer,427179826
Rambo: Last Blood,Lionsgate,fall,53335028
Rampage,Warner Bros.,spring,122244161
Random Hearts,Sony Pictures Entertainment (SPE),fall,57334701
Rango,Paramount Pictures,spring,167929545
Ransom,Walt Disney Studios Motion Pictures,holiday season,243473973
Rapid Fire,Twentieth Century Fox,summer,31153559
Rat Race,Paramount Pictures,summer,96816874
Ratatouille,Walt Disney Studios Motion Pictures,summer,305539567
Raw Deal,De Laurentiis Entertainment Group (DEG),summer,44251823
Ray,Universal Pictures,fall,115470935
Raya and the Last Dragon,Walt Disney Studios Motion Pictures,spring,62384256
Ready Player One,Warner Bros.,spring,166605108
Ready or Not,-,summer,34169934
Real Genius,TriStar Pictures,summer,40147728
Real Steel,Walt Disney Studios Motion Pictures,fall,114739337
Reality Bites,Universal Pictures,winter,43014241
Recess: School's Out,Walt Disney Studios Motion Pictures,winter,62767501
Reckless,Metro-Goldwyn-Mayer (MGM),winter,24372353
Red Corner,Metro-Goldwyn-Mayer (MGM),fall,42223435
Red Dawn,FilmDistrict,holiday season,57377828
Red Dawn,Metro-Goldwyn-Mayer (MGM),summer,112826901
Red Dragon,Universal Pictures,fall,157379821
Red Eye,DreamWorks Distribution,summer,90890130
Red Heat,TriStar Pictures,summer,90636140
Red Riding Hood,Warner Bros.,spring,51220540
Red Sparrow,Twentieth Century Fox,winter,56718151
Red Tails,Twentieth Century Fox,winter,65836817
Redeeming Love,Universal Pictures,winter,9766861
Reds,Paramount Pictures,holiday season,129059291
Regarding Henry,Paramount Pictures,summer,95463330
Reign of Fire,Walt Disney Studios Motion Pictures,summer,72774749
Reindeer Games,Miramax,winter,41143361
Relic,IFC Films,summer,1214117
Remember the Titans,Walt Disney Studios Motion Pictures,fall,200977519
Reminiscence,Warner Bros.,summer,4446220
Remo Williams: The Adventure Begins,Orion Pictures,fall,40878681
Renaissance Man,Walt Disney Studios Motion Pictures,summer,49881264
Renegades,Universal Pictures,summer,22267455
Rent,Revolution Studios,holiday season,45542605
Resident Evil,Screen Gems,spring,67802308
Resident Evil: Afterlife,Screen Gems,fall,82977421
Resident Evil: Apocalypse,Screen Gems,fall,82946353
Resident Evil: Extinction,Screen Gems,fall,74960044
Resident Evil: Retribution,Screen Gems,fall,55896100
Resident Evil: The Final Chapter,Screen Gems,winter,33000983
Resident Evil: Welcome to Raccoon City,Screen Gems,holiday season,19293235
Respect,Metro-Goldwyn-Mayer (MGM),summer,27677374
Resurrection,Universal Pictures,fall,15053573
Return of the Living Dead II,Lorimar Motion Pictures,winter,23843343
Return to Me,Metro-Goldwyn-Mayer (MGM),spring,57919352
Return to Never Land,Walt Disney Studios Motion Pictures,winter,81847136
Return to Oz,Walt Disney Studios Motion Pictures,summer,31631354
Return to Snowy River,Walt Disney Studios Motion Pictures,spring,35449399
Revenge,Columbia Pictures,winter,36767197
Revenge of the Nerds,Twentieth Century Fox,summer,120170888
Revenge of the Nerds II: Nerds in Paradise,Twentieth Century Fox,summer,80870247
Revenge of the Ninja,Metro-Goldwyn-Mayer (MGM),fall,35965991
Reversal of Fortune,Warner Bros.,fall,36296057
Rhinestone,Twentieth Century Fox,summer,63019843
Richard Jewell,Warner Bros.,holiday season,5247057
Richard Pryor... Here and Now,Columbia Pictures,fall,49439734
Richard Pryor: Live on the Sunset Strip,Columbia Pictures,spring,115070112
Richie Rich,Warner Bros.,holiday season,76736038
Ricki and the Flash,TriStar Pictures,summer,34332344
Ricochet,Warner Bros.,fall,48298681
Riddick,Universal Pictures,fall,54632675
Ride Along,Universal Pictures,winter,172720896
Ride Along 2,Universal Pictures,winter,114939505
Riding in Cars with Boys,Sony Pictures Entertainment (SPE),fall,51583066
Righteous Kill,Overture Films,fall,56915602
Rings,Paramount Pictures,winter,34185412
Rio,Twentieth Century Fox,spring,195322804
Rio 2,Twentieth Century Fox,spring,168369196
Rise of the Guardians,DreamWorks,holiday season,120565709
Rise of the Planet of the Apes,Twentieth Century Fox,summer,240393851
Risen,Sony Pictures Entertainment (SPE),winter,46468841
Rising Sun,Twentieth Century Fox,summer,132676998
Risky Business,Warner Bros.,summer,194437837
Road House,United Artists,summer,74223569
Road Trip,DreamWorks Distribution,summer,121317175
Road to Perdition,DreamWorks Distribution,summer,176528547
Roadie,Metro-Goldwyn-Mayer (MGM),summer,16271524
Roadrunner: A Film About Anthony Bourdain,Focus Features,summer,5984965
Rob Roy,Metro-Goldwyn-Mayer (MGM),spring,62877852
Robin Hood,Lionsgate,holiday season,37080465
Robin Hood,Universal Pictures,summer,145272227
Robin Hood: Men in Tights,Twentieth Century Fox,summer,75053485
Robin Hood: Prince of Thieves,Warner Bros.,summer,364787296
RoboCop,Orion Pictures,summer,143712391
RoboCop,Sony Pictures Entertainment (SPE),winter,75016968
RoboCop 2,Orion Pictures,summer,107350756
Robots,Twentieth Century Fox,spring,201274018
Rock of Ages,Warner Bros.,summer,50844569
Rock-A-Doodle,The Samuel Goldwyn Company,spring,25296525
Rocketman,Paramount Pictures,summer,114678110
Rocky Balboa,Metro-Goldwyn-Mayer (MGM),holiday season,72390354
Rocky III,United Artists,summer,393545663
Rocky IV,United Artists,holiday season,358896521
Rocky V,United Artists,holiday season,96223941
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,holiday season,666825184
Role Models,Universal Pictures,holiday season,94242297
Rollover,Warner Bros.,holiday season,35270476
Romancing the Stone,Twentieth Century Fox,spring,218585586
Romantic Comedy,Metro-Goldwyn-Mayer (MGM),fall,20984662
Romeo + Juliet,Twentieth Century Fox,fall,80836081
Romeo Must Die,Warner Bros.,spring,99072804
Romy and Michele's High School Reunion,Walt Disney Studios Motion Pictures,spring,54962463
Ron's Gone Wrong,20th Century Studios,fall,26230567
Ronin,Metro-Goldwyn-Mayer (MGM),fall,76990084
Rookie of the Year,Twentieth Century Fox,summer,109761918
Rough Night,Sony Pictures Entertainment (SPE),summer,27189940
Rounders,Miramax,fall,42387956
Roxanne,Columbia Pictures,summer,107736877
Rudy,TriStar Pictures,fall,47775762
Rugrats Go Wild,Paramount Pictures,summer,65014243
Rugrats in Paris,Paramount Pictures,holiday season,122026794
Rules of Engagement,Paramount Pictures,spring,108563357
Rumble in the Bronx,New Line Cinema,winter,62840571
Run All Night,Warner Bros.,spring,33870904
Runaway Bride,Paramount Pictures,summer,276650073
Runaway Jury,Twentieth Century Fox,fall,80737643
Running Scared,Metro-Goldwyn-Mayer (MGM),summer,105106981
Rush,Universal Pictures,fall,35031911
Rush Hour,New Line Cinema,fall,251720869
Rush Hour 2,New Line Cinema,summer,386740929
Rush Hour 3,New Line Cinema,summer,207379584
Ruthless People,Walt Disney Studios Motion Pictures,summer,193251818
S.W.A.T.,Sony Pictures Entertainment (SPE),summer,192942172
Sabrina,Paramount Pictures,holiday season,105428805
Safe Haven,Relativity Media,winter,92753856
Safe House,Universal Pictures,winter,166812932
Sahara,Paramount Pictures,spring,107814922
Salsa,Cannon Film Distributors,summer,23031805
Salt,Sony Pictures Entertainment (SPE),summer,163269687
San Andreas,Warner Bros.,summer,198644264
Santa Claus: The Movie,TriStar Pictures,holiday season,64225813
Sarileru Neekevvaru,Great India Films,winter,952359
Sausage Party,Sony Pictures Entertainment (SPE),summer,123083964
Savages,Universal Pictures,summer,62544329
Save the Last Dance,Paramount Pictures,winter,155707480
Saving Mr. Banks,Walt Disney Studios Motion Pictures,holiday season,107507771
Saving Private Ryan,DreamWorks Distribution,summer,399828612
Saw,Lionsgate,fall,89399772
Saw 3D,Lionsgate,fall,63080045
Saw II,Lionsgate,fall,136584087
Saw III,Lionsgate,fall,121160473
Saw IV,Lionsgate,fall,93684140
Saw V,Lionsgate,fall,80580411
Say Anything,Twentieth Century Fox,spring,51330020
Scandal,Miramax,spring,21736000
Scarface,Universal Pictures,holiday season,133633716
Scary Movie,Miramax,summer,277924994
Scary Movie 2,Miramax,summer,121938384
Scary Movie 3,Dimension Films,fall,180447633
Scary Movie 4,-,spring,136973036
Scary Movie V,-,spring,41620523
Scary Stories to Tell in the Dark,Lionsgate,summer,82047019
Scent of a Woman,Universal Pictures,holiday season,130730067
Schindler's List,Universal Pictures,holiday season,186709754
School Daze,Columbia Pictures,winter,37673735
School Ties,Paramount Pictures,fall,31931695
School of Rock,Paramount Pictures,fall,131786490
Scooby-Doo,Warner Bros.,summer,259067137
Scooby-Doo 2: Monsters Unleashed,Warner Bros.,spring,136431269
Scott Pilgrim vs. the World,Universal Pictures,summer,43503499
Scream,Dimension Films,holiday season,187821024
Scream,Paramount Pictures,winter,86539889
Scream 2,Dimension Films,holiday season,189798934
Scream 3,Dimension Films,winter,157783419
Scream 4,-,spring,51926062
Scrooged,Paramount Pictures,holiday season,136614976
Se7en,New Line Cinema,fall,168508420
Sea of Love,Universal Pictures,fall,144671637
Seabiscuit,Universal Pictures,summer,198382031
Secondhand Lions,New Line Cinema,fall,69418026
Secret Window,Sony Pictures Entertainment (SPE),spring,77797098
Secretariat,Walt Disney Studios Motion Pictures,fall,81250050
See How They Run,Walt Disney Studios Motion Pictures,fall,10161411
"See No Evil, Hear No Evil",TriStar Pictures,summer,115865197
See Spot Run,Warner Bros.,winter,57041283
Selena,Warner Bros.,spring,66329772
Selma,Paramount Pictures,holiday season,65117338
Semi-Pro,New Line Cinema,winter,47627728
Sense and Sensibility,Sony Pictures Entertainment (SPE),holiday season,76480036
Separation,Open Road Films (II),spring,5140423
Serendipity,Miramax,fall,85596143
Serenity,Universal Pictures,fall,40057791
Set It Off,New Line Cinema,holiday season,70734609
Seven Pounds,Sony Pictures Entertainment (SPE),holiday season,65233358
Seven Years in Tibet,Sony Pictures Entertainment (SPE),fall,71360442
Sex Tape,Sony Pictures Entertainment (SPE),summer,49335645
Sex and the City,Warner Bros.,summer,216759106
Sex and the City 2,Warner Bros.,summer,131579814
"Sex, Lies, and Videotape",Miramax,summer,61111917
Sgt. Bilko,Universal Pictures,spring,58892178
Shadowlands,-,holiday season,52922910
Shaft,Paramount Pictures,summer,124491636
Shakedown,Universal Pictures,summer,26076221
Shakespeare in Love,Miramax,holiday season,171222369
Shall We Dance,Miramax,fall,92346708
Shallow Hal,Twentieth Century Fox,holiday season,116883193
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,summer,255979352
Shanghai Knights,Walt Disney Studios Motion Pictures,winter,99786894
Shanghai Noon,Walt Disney Studios Motion Pictures,summer,100779378
Shark Tale,DreamWorks Distribution,fall,260061627
Sharky's Machine,Warner Bros.,holiday season,114049660
Shazam!,Warner Bros.,spring,167042270
She Said,Universal Pictures,holiday season,6175554
She's All That,Miramax,winter,115327919
She's Gotta Have It,Island Pictures,summer,19485380
She's Having a Baby,Paramount Pictures,winter,41522121
She's Out of Control,Columbia Pictures,spring,29802753
She's Out of My League,Paramount Pictures,spring,44174986
She's the Man,DreamWorks,spring,50949110
She-Devil,Orion Pictures,holiday season,24321156
Sherlock Gnomes,Paramount Pictures,spring,52323873
Sherlock Holmes,Warner Bros.,holiday season,292543694
Sherlock Holmes: A Game of Shadows,Warner Bros.,holiday season,251601976
Shine,Fine Line Features,holiday season,59613269
Shining Through,Twentieth Century Fox,winter,46945304
Shipwrecked,Walt Disney Studios Motion Pictures,winter,33531226
Shocker,Universal Pictures,fall,40890106
Shoot the Moon,Metro-Goldwyn-Mayer (MGM),winter,26008553
Shoot to Kill,Walt Disney Studios Motion Pictures,winter,75887233
Shooter,Paramount Pictures,spring,69565301
Short Circuit,TriStar Pictures,summer,111104887
Short Circuit 2,TriStar Pictures,summer,56021927
Showgirls,Metro-Goldwyn-Mayer (MGM),fall,40498000
Showtime,Warner Bros.,spring,64359783
Shrek,DreamWorks Distribution,summer,457707168
Shrek 2,DreamWorks Distribution,summer,714786520
Shrek Forever After,DreamWorks,summer,329456766
Shrek the Third,DreamWorks,summer,477625517
Shutter Island,Paramount Pictures,winter,176657848
Sibling Rivalry,Columbia Pictures,fall,41959092
Sicario,Lionsgate,fall,59866077
Sicario: Day of the Soldado,Sony Pictures Entertainment (SPE),summer,60587404
Sicko,Lionsgate,summer,36319316
Side Effects,Open Road Films (II),winter,41824584
Sidekicks,Triumph Releasing Corporation,spring,36078825
Sideways,-,fall,79497240
Signs,Walt Disney Studios Motion Pictures,summer,384452389
Silence of the North,Universal Pictures,fall,5582769
Silent Hill,Sony Pictures Entertainment (SPE),spring,70943774
Silent Rage,Columbia Pictures,spring,33255807
Silkwood,Twentieth Century Fox,holiday season,105432044
Silver Bullet,Paramount Pictures,fall,35107699
Silver Linings Playbook,The Weinstein Company,holiday season,134724163
Silverado,Columbia Pictures,summer,91426898
Simon Birch,Walt Disney Studios Motion Pictures,fall,33768817
Sin City,Dimension Films,spring,116341460
Sing,Universal Pictures,holiday season,337171991
Sing 2,Universal Pictures,holiday season,176853101
Single White Female,Columbia Pictures,summer,104197762
Singles,Warner Bros.,fall,40083914
Sinister,Lionsgate,fall,63441253
Sinister 2,Focus Features,summer,35508422
Sister Act,Walt Disney Studios Motion Pictures,summer,302943175
Sister Act 2: Back in the Habit,Walt Disney Studios Motion Pictures,holiday season,119219524
Sisters,Universal Pictures,holiday season,110658719
Six Days Seven Nights,Walt Disney Studios Motion Pictures,summer,137527693
Six Pack,Twentieth Century Fox,summer,58447084
Sixteen Candles,Universal Pictures,spring,69636919
Skin Deep,Twentieth Century Fox,spring,48596884
Sky Captain and the World of Tomorrow,Paramount Pictures,fall,61175536
